instance_id,id,user.id,created_at,text,class
0,1.07E+18,1.07E+18,Fri Nov 30 09:35:26 +0000 2018,"""RT @AmithWeerasing3: 2018-11-27 ??? ??????? ???????? ?????? ????? ????? ?????? ?????? ???????? ?????? ????? ??????? ?? ?????? ????????..…""",
4,1.07E+18,1.06E+18,Thu Nov 29 05:36:08 +0000 2018,"""RT @AmithWeerasing3: ?? UNP ?? ??????? ??????? ????? ?? ???? ????? ????? ????????? ??????? ???????? ????? ???? ??.. ??????? ??????? ???? ??…""",
5,1.07E+18,150942005,Thu Nov 29 04:46:25 +0000 2018,"""@dead_mans_creed @Wind_Desika ???? ?? ???? ?????? ??? ????? ???? ?? ??? ?? ?????? ????""",
10,1.07E+18,2483063340,Wed Nov 28 10:54:43 +0000 2018,"""@MrThila_ @maalupaan @punchi_kella @anuwa01 @da_sukiya ???? ?????? ??? ???? ??? ???? ????? ??? ?? ??""",
11,1.07E+18,2203056031,Sun Nov 25 13:43:18 +0000 2018,"""?????? ?????? ??? stage ??? ??????? ?????.... ???. ??? ????? ????? ???. ????....""",
12,1.07E+18,927065408,Wed Nov 21 13:41:45 +0000 2018,"""RT @SaliyaT_R: @fernandoharin ??????? ???????? ?? ?? ????? ???????. ?????? ?? ???????? ???? ???? ????? ????? ?????????? ?? ???? ????????????""",
13,1.07E+18,2876666923,Wed Nov 21 12:32:59 +0000 2018,"""@fernandoharin ??????? ???????? ?? ?? ????? ???????. ?????? ?? ???????? ???? ???? ????? ????? ?????????? ?? ???? ????????????""",
14,1.06E+18,3089536357,Tue Nov 20 08:54:00 +0000 2018,"""@She_is_Nu @nthathsaranii ??? ?? ????? ???? ???????? ?? ?????????????? ???? ?????..????? ???????? ??? ??????? ??????? ?????? ???????""",
15,1.06E+18,1.06E+18,Sat Nov 17 19:11:08 +0000 2018,"""@Sagara_9 ????? ?? ???? ????????? ???? ?????????????? ????? ???? ???? ???? ????? ???????? ?? ????? ?????? ????""",
16,1.06E+18,2876666923,Sat Nov 17 17:39:06 +0000 2018,"""RT @SaliyaT_R: ??????? ????? ????? ????? ???? ???? ??????. ???? ????? ????? ?????? ?? ????? ????? ?????? ????????. ????? ????? ?? ??? ?????…""",
20,1.06E+18,1.06E+18,Sat Nov 17 15:04:03 +0000 2018,"""?? ??? ???? #fakenews ???????? https://t.co/yVOaR51cPn""",
21,1.06E+18,234496963,Sat Nov 17 04:14:25 +0000 2018,"""RT @ApiWenuwen: ??????? ??????? ?????? ??????????? ?????? ?????? ???? @pcranawaka ???? ???????? ??? ?? ??????. ??? ??? ????? ?? ??? ?????…""",
23,1.06E+18,9.71E+17,Fri Nov 16 23:57:22 +0000 2018,"""@reeriiyaka @SaliyaT_R ???? ?????? ...""",
24,1.06E+18,9.71E+17,Fri Nov 16 23:54:08 +0000 2018,"""@reeriiyaka @SaliyaT_R ?? ?? ????? ??....?? ?????? ????? ?????? ????.. ??? ??? ?? ??? ??? ?????? .. ????????""",
25,1.06E+18,7.51E+17,Fri Nov 16 23:52:17 +0000 2018,"""@reeriiyaka @SaliyaT_R ??? ????? ???? .. ?? ????? ????. ????????? ??? ????? ????? ?????? ????? ????.. ? ?? ???? ????? ?? ????? ??????""",
26,1.06E+18,2805958826,Fri Nov 16 13:11:09 +0000 2018,"""??? ??? ????? ???????????? ??? ??? ??? ????? ??? ??? https://t.co/Xn9MbcO9X9""",
28,1.06E+18,1954236222,Fri Nov 16 10:24:07 +0000 2018,"""RT @ApiWenuwen: ??????? ??????? ?????? ??????????? ?????? ?????? ???? @pcranawaka ???? ???????? ??? ?? ??????. ??? ??? ????? ?? ??? ?????…""",
31,1.06E+18,1.06E+18,Thu Nov 15 16:20:38 +0000 2018,"""?? ????????? ??????? ?????????? ????? ?? ?????? ??????? ??? ?????? ??????? .. https://t.co/J1Jc6n6Z6v""",
32,1.06E+18,7.51E+17,Wed Nov 14 18:46:17 +0000 2018,"""RT @___journalist: ???????? ????? ???? ???????? ?????? ??? ???????? ???? ??. ???????? ????? ???????? ???????? ????? ?????????????? ??. ??…""",
33,1.06E+18,7.51E+17,Wed Nov 14 18:46:03 +0000 2018,"""RT @___journalist: #Muslim ?????? ???????? ?? ?????? ???? (????????) #Srilanka ???? ????? ?? ???? ???? ????? ??. ????? ???? ??????? ???? ??…""",
34,1.06E+18,186032870,Wed Nov 14 03:43:34 +0000 2018,"""@dmperera1996 ????? ???""",
35,1.06E+18,2326600502,Tue Nov 13 13:37:20 +0000 2018,"""????? ?????? ????? ?????? ??????? ???????? ?????? ? ??? ????? ???? ????  ?????? ????????????? ???? ???????????  #disappointed""",
37,1.06E+18,9.60E+17,Mon Nov 12 03:21:14 +0000 2018,"""RT @sahankaseera: ????????? ?? ?????????? ?????? ??? ????? ?? ????? ??????? ?????? ??? ??? ??? ???????. ????????? ?????????? ?????? ????.…""",
38,1.06E+18,1.06E+18,Sun Nov 11 13:28:59 +0000 2018,"""?? ?????? ??? ???????? ?????? ????? ????? ????? ????? ????? ??????? ??????? ???....?? ??? ???? ????? ??? ?????? ???? ?? ????. #lka""",
39,1.06E+18,7.77E+17,Sat Nov 10 13:52:52 +0000 2018,"""@ChamikaCME ??????""",
40,1.06E+18,2483063340,Sat Nov 10 06:29:08 +0000 2018,"""@nima_dre ???? ??? ??""",
41,1.06E+18,1243388803,Fri Nov 09 01:07:59 +0000 2018,"""Music ???? ???????? ???? ??????? ????? Bro??? https://t.co/bF0X4C0PB3""",
42,1.06E+18,9.71E+17,Thu Nov 08 01:14:07 +0000 2018,"""RT @___journalist: #SriLankanPolitics ???? ???? ?????? ??????? ?? ???? ????? ????? ???? ??? ??? ???? ??????? ??????? .. ??? ?? ?????? ????…""",
43,1.06E+18,3165646736,Wed Nov 07 14:43:26 +0000 2018,"""RT @MaheshNegombo: ???? ?????? ?? ????? ??? ??? ?????? ???? ????? ???? ?????. ?????? ?????? ??. ??? ????? ???????? ???????? ??. ?? ????? ??…""",
45,1.06E+18,3165646736,Tue Nov 06 00:24:20 +0000 2018,"""RT @IamRanga69: * ?????????? ???.. ?????, ??????, ???????? ??????? ???????. * TNA ??? ?????????????? ???  ?????? ???? ?????????? ???????  #…""",
46,1.07E+18,150624162,Fri Nov 30 16:07:28 +0000 2018,"""@VGajanatha ???? ??????? ??????? ?? ??? ???? ??????? ??? ?? ????? ?????????? ???? ?? ?????? ??? .??? ???? ?????? ???? ??.. ??? ????..   ???? ????? ??????? ?????? ??? ?? ???? ??????????? ??????? ???????.. ?? ??????.. ?????? ???????? ?? ??? ??? ? ????????? ??? ???..""",
47,1.07E+18,150624162,Fri Nov 30 07:00:41 +0000 2018,"""@VGajanatha ???????? ??????? ???? ?????? ??????? ?? ??????????.. ????? ????? ? ?? ???? ?????????? ????? ?????.. ????????? ???????.. ????????? ???????.. ???? ??? ?? ??????? ?? ????.  ???? ???? ????? ????? ????? ????? ??????? ????.. ??????? ????? ????..  ???? ???????? ??? ?????..""",
48,1.07E+18,1.06E+18,Thu Nov 29 06:25:14 +0000 2018,"""2018-11-27 ??? ??????? ???????? ?????? ????? ????? ?????? ?????? ???????? ?????? ????? ??????? ?? ?????? ????????..         ""Unp ? ?????????? ?????????? ????? ????? ??? ????? ?? ??????? ??????????? ???? ?????? ??.."" Vidio ?????? https://t.co/i7Rf2k3lYH""",
49,1.07E+18,1.06E+18,Wed Nov 28 14:47:42 +0000 2018,"""?? UNP ?? ??????? ??????? ????? ?? ???? ????? ????? ????????? ??????? ???????? ????? ???? ??.. ??????? ??????? ???? ?????????? ????? ??, ????? ???? ??????? ??????, ????? ??? ?, ????? ??? ????? ??, ??????? ??????? ??? ????? ??,. (18/11/28 ?????? ???????? ????? ???????) https://t.co/BhrH0JALWG""",
50,1.07E+18,2701664156,Tue Nov 27 23:51:14 +0000 2018,"""???? ??????? ?? ????  ??????? ?? ????? ??????? ?? ?????? ????? ?? Mohamed Nazeem ??? ?????? ???? ???  ?? ?????? ???? ????????  ???? ?????? ????? ????? ???? ???????? ?? ?? Nazeem ???? ?? ???? ?????? ?? ???????? ?????????... https://t.co/RlH5FWrxKb""",
